AIRPORT,STATE,LATITUDE,LONGITUDE,total_strikes,damaging_strikes
UNKNOWN,,,,45719,4462
DENVER INTL AIRPORT,CO,39.85841,-104.667,11538,251
DALLAS/FORT WORTH INTL ARPT,TX,32.89595,-97.0372,8889,277
CHICAGO O'HARE INTL ARPT,IL,41.9796,-87.90446,7290,271
JOHN F KENNEDY INTL,NY,40.63975,-73.77893,6661,330
MEMPHIS INTL,TN,35.04242,-89.97667,5479,198
SALT LAKE CITY INTL,UT,40.78839,-111.97777,4371,378
HARTSFIELD - JACKSON ATLANTA INTL ARPT,GA,33.64044,-84.42694,4304,146
DETROIT METRO WAYNE COUNTY ARPT,MI,42.21206,-83.34884,4299,116
ORLANDO INTL,FL,28.42889,-81.31603,4206,312
SACRAMENTO INTL,CA,38.69542,-121.59077,4203,470
CHARLOTTE/DOUGLAS INTL ARPT,NC,35.21401,-80.94313,3737,120
LA GUARDIA ARPT,NY,40.77724,-73.87261,3713,218
GEORGE BUSH INTERCONTINENTAL/ HOUSTON ARPT,TX,29.98047,-95.33972,3706,92
MUHAMMAD ALI INTERNATIONAL,KY,38.17439,-85.736,3519,135
KANSAS CITY INTL,MO,39.29761,-94.71391,3413,146
AUSTIN-BERGSTROM INTL,TX,30.19453,-97.66987,3375,111
NEWARK LIBERTY INTL ARPT,NJ,40.6925,-74.16866,3292,208
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,KY,39.04614,-84.66217,3243,86
PHILADELPHIA INTL,PA,39.87195,-75.24114,3171,201
NASHVILLE INTL,TN,36.12448,-86.67818,3097,92
LOS ANGELES INTL,CA,33.94254,-118.40807,3090,173
GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,MA,42.36435,-71.00518,2882,187
BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,MD,39.1754,-76.6682,2840,139
PORTLAND INTL (OR),OR,45.58872,-122.5975,2792,169
WASHINGTON DULLES INTL ARPT,DC,38.94453,-77.45581,2705,194
SAN FRANCISCO INTL ARPT,CA,37.619,-122.37484,2649,185
CLEVELAND-HOPKINS INTL ARPT,OH,41.41089,-81.8494,2636,77
DALLAS LOVE FIELD ARPT,TX,32.84711,-96.85177,2599,89
MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN ARPT,MN,44.88055,-93.21692,2516,140
