INCIDENT_YEAR,total_strikes,total_repair_cost
1990,2120,9349351
1991,2515,4708579
1992,2652,7012093
1993,2625,6656192
1994,2707,7341097
1995,2826,41024075
1996,3031,9534019
1997,3560,12594709
1998,3808,35547936
1999,5119,25944134
2000,6025,26421377
2001,5828,58525231
2002,6223,32836358
2003,5992,36062639
2004,6612,29373654
2005,7273,79550354
2006,7294,48361411
2007,7750,40251065
2008,7639,24115842
2009,9509,95679548
2010,9901,29674678
2011,10112,56373181
2012,10937,32936658
2013,11407,20400395
2014,13690,38426102
2015,13777,41433827
2016,13377,13519623
2017,14754,44376089
2018,16206,13044212
2019,17348,21896061
2020,11625,14657707
2021,15641,42205017
2022,17223,23131720
2023,19624,32305744
2024,22371,32459214
2025,23555,18865761
